title,content,price,url
Ades Alimento Líquido a Base de Almendra,946 ML Líquido Tetrapack,$45.00 MXN,N/A
Santa Clara Leche Light 100% Pura De Va...,1 L Líquido Tetrapack,$37.00 MXN,N/A
Santa Clara Leche Entera 100% Pura De V...,1 L Líquido Tetrapack,$36.00 MXN,N/A
Santa Clara Leche Deslactosada 100% Pur...,1 L Líquido Tetrapack,$37.00 MXN,N/A
Santa Clara Leche Light Deslactosada,1 L Líquido Tetrapack,$37.00 MXN,N/A
Ades Bebida de Soya sin Azúcares Añadid...,946 ML Líquido Tetrapack,$35.00 MXN,N/A
Sta. María Agua Pura de Manantial,4 L Botella,$36.00 MXN,N/A
Welch´S Snacks Variedad de Frutas Gomit...,60 G Bolsa,$32.00 MXN,N/A
Welch´S Snacks Frutos Rojos Gomitas con...,60 G Bolsa,$32.00 MXN,N/A
Sta. María Agua Pura de Manantial,1.5 L Botella,$17.00 MXN,N/A
Welch´S Juicefuls Gomitas con puré de f...,50 G Bolsa,$38.00 MXN,N/A
Welch´S Juicefuls Gomitas con puré de f...,50 G Bolsa,$38.00 MXN,N/A
Be Light sabor limón sin calorías,1 L Líquido Botella,$15.00 MXN,N/A
Metco Azúcar mascabado genuino,50 Sobres,$31.00 MXN,N/A
Metco Piloncillo genuino,54 Sobres,$56.00 MXN,N/A
Smart Chips Spicy Cheddar Botana de maí...,20 G Bolsa,$16.00 MXN,N/A
Smart Chips Chile y Limón Botana de maí...,20 G Bolsa,$16.00 MXN,N/A
Jumex Cero bebida sabor mango adicionad...,475 ML Tetrapack,$24.00 MXN,N/A
Jumex Cero bebida sabor durazno adicion...,475 ML Tetrapack,$24.00 MXN,N/A
Jumex Cero bebida sabor manzana adicion...,475 ML Tetrapack,$24.00 MXN,N/A
Vitamin Water Power C Bebida hidratante...,500 ML Botella,$35.00 MXN,N/A
Skippy Crema de cacahuate con trozos de...,462 G Frasco,$120.00 MXN,N/A
Vitamin Water Bebida hidratante sabor c...,500 ML Botella,$35.00 MXN,N/A
Vitamin Water Bebida hidratante sabor p...,500 ML Botella,$35.00 MXN,N/A
Skippy Crema de cacahuate cremosa sin a...,454 G Frasco,$102.00 MXN,N/A
Svelty Producto lácteo en polvo bajo en...,360 G Lata,$62.00 MXN,N/A
Gatorade Bebida isotónica sabor moras f...,1 L Envase,$33.00 MXN,N/A
Manna Foods Kalechips totopo de kale co...,50 G Bolsa,$24.00 MXN,N/A
Gatorlyte Electrolitos sabor frutos tro...,591 ML Botella,$24.00 MXN,N/A
Dont Worry Mini barritas de arroz infla...,50 G Bolsa,$58.00 MXN,N/A
Peñafiel Twist Agua Mineral con Sabor a...,600 ML Botella,$20.00 MXN,N/A
Peñafiel Agua Mineral de Manantial de O...,600 ML Botella,$19.00 MXN,N/A
Snapple Diet Té Negro Sabor Limón sin C...,473 ML Botella,$19.00 MXN,N/A
Snapple Diet Té Negro Sabor Frambuesa s...,473 ML Botella,$19.00 MXN,N/A
Snapple Diet Té Negro Sabor Durazno sin...,473 ML Botella,$19.00 MXN,N/A
Peñafiel Limonada con Agua Mineral de M...,600 ML Botella,$19.00 MXN,N/A
Peñafiel Twist Agua Mineral con Sabor a...,600 ML Botella,$20.00 MXN,N/A
Peñafiel Twist Agua Mineral de Manantia...,600 ML Botella,$20.00 MXN,N/A
Peñafiel Naranjada con Agua Mineral de ...,600 ML Botella,$19.00 MXN,N/A
Gullón Diet Nature Galletas Digestivas ...,410 G Caja,$98.00 MXN,N/A
Gullón Mini Chip Choco Zero Galletas co...,75 G Pieza,$48.00 MXN,N/A
Gullón Galletas Rellenas de Crema de Ch...,250 G Pieza,$85.00 MXN,N/A
Gullón Galletas María Dorada Zero sin A...,400 G Caja,$88.00 MXN,N/A
Gullón Chip Choco Zero Galletas con Chi...,125 G Pieza,$58.00 MXN,N/A
Taifeld's Galletas de Avena con Semilla...,250 G Caja,$78.00 MXN,N/A
Gatorade Bebida Isotónica Sabor Moras,1 L Botella,$34.00 MXN,N/A
Brand Blue Mango Enchilado,800 G Bote,$278.00 MXN,N/A
Brand Blue Nueces Mixtas sin Sal,800 G Bote,$278.00 MXN,N/A
Brand Blue Mezcla de Frutos y Nueces,900 G Bote,$278.00 MXN,N/A
Brand Blue Nueces Mixtas con Sal,800 G Bote,$278.00 MXN,N/A
Perrier Agua Mineral Gasificada,330 ML Lata,$25.00 MXN,N/A
Jumex Ito Jugo con Mix Mango y Manzana ...,200 ML Tetrapack,$11.00 MXN,N/A
Jumex ito Jugo de Frutas Tropicales Adi...,200 ML Tetrapack,$11.00 MXN,N/A
Coffee Mate Original Balance Sustituto ...,400 G Bote,$72.00 MXN,N/A
Dont Worry Quinoa Bites Sabor a Chocola...,74 G Bolsa,$88.00 MXN,N/A
Gatorlyte Bebida Sabor Coco con Electro...,591 ML Botella,$24.00 MXN,N/A
Jumex Ito Jugo de Manzana de Concentrad...,200 ML Tetrapack,$11.00 MXN,N/A
Be Light Agua Saborizada Sabor Jamaica,1 L Botella,$15.00 MXN,N/A
Nescafé Ice Café Soluble para Disolver ...,170 G Frasco,$140.00 MXN,N/A
Jumex 0% Manzana,960 ML Envase,$32.00 MXN,N/A
Jumex 0% Mango,960 ML Envase,$32.00 MXN,N/A
Inmortal Inmortal Agua Carbonatada con ...,355 ML Lata,$22.00 MXN,N/A
Not Milk Zero Bebida Sabor Lácteo con F...,1 L Tetrapack,$52.00 MXN,N/A
Not Milk Ligera Bebida Sabor Lácteo con...,1 L Tetrapack,$51.00 MXN,N/A
Not Milk Original Leche a base de Plant...,1 L Tetrapack,$51.00 MXN,N/A
Kelloggs Extra Hojuelas de Maíz con Sab...,130 G Bolsa,$33.00 MXN,N/A
Corn Flakes Hojuelas de Maíz Adicionada...,90 G Bolsa,$26.00 MXN,N/A
Taifeld's Keto Cookies Galletas con Chi...,180 G Caja,$115.00 MXN,N/A
Punta Del Cielo Cold Brew Infusión de C...,140 ML Botella,$37.00 MXN,N/A
Nescafé Dolce Gusto Americano Café Tost...,16 Cápsulas Caja,$108.50 MXN,N/A
Mac´Ma Waffer Natta Galletas con Rellen...,150 G Caja,$55.00 MXN,N/A
Mac´Ma Zero Mini Abanicos Galletas Sabo...,150 G Caja,$55.00 MXN,N/A
Mac´Ma Zero Gofrenata Galletas con Rell...,150 G Caja,$55.00 MXN,N/A
Jumex Unicofresco Jugo de Naranja sin P...,960 ML Envase,$51.00 MXN,N/A
Jumex Unicofresco Jugo de Naranja con P...,960 ML Envase,$52.00 MXN,N/A
Nescafé Capsulas para Preparare Café y ...,16 Cápsulas Caja,$112.00 MXN,N/A
Calahua Acapulcoco Agua de Coco con 1% ...,330 ML Botella,$24.00 MXN,N/A
Sanissimo Salmas Tostaditas de Maíz Bla...,144 G Caja,$34.00 MXN,N/A
Las Sevillanas Surtido de Dulces Reduci...,155 G Bolsa,$93.00 MXN,N/A
Manna Foods Colichips Botana de Harina ...,50 G Bolsa,$28.00 MXN,N/A
San Pellegrino Naturali Limonada Bebida...,330 ML Lata,$38.00 MXN,N/A
San Pellegrino Naturali Aranciata Bebid...,330 ML Lata,$38.00 MXN,N/A
Carlota Miel Natural de Abeja,300 G Frasco,$68.00 MXN,N/A
McCormick Té de Manzanilla sin Cafeína,25 Sobre Caja,$24.00 MXN,N/A
McCormick Balance Infusión Herbal con E...,20 Sobre Caja,$38.00 MXN,N/A
Taifeld's Galletas Integrales de Amaran...,100 G Caja,$28.00 MXN,N/A
Taifeld's Galletas Keto con Almendra y ...,180 G Caja,$93.00 MXN,N/A
Gatorlyte Bebida Sabor Uva con Electrol...,591 ML Botella,$24.00 MXN,N/A
Gatorlyte Bebida con Electrolitos Sabor...,591 ML Botella,$24.00 MXN,N/A
Gatorlyte Bebida con Electrolitos Sabor...,591 ML Botella,$24.00 MXN,N/A
Slim Pop Palomitas de Maíz con Azúcar y...,25 G Bolsa,$12.00 MXN,N/A
Jumex Unicofresco Jugo de Naranja Sin P...,475 ML Tetrapack,$28.00 MXN,N/A
"Powerade Bebida para Deportistas, Sabor...",500 ML Botella,$25.00 MXN,N/A
Del Valle 100% Jugo de Naranja,413 ML Botella,$25.00 MXN,N/A
Del Valle 100% Jugo de Manzana,413 ML Botella,$25.00 MXN,N/A
"Alpura Leche Deslactosada, Parcialmente...",1.5 L Tetrapack,$47.50 MXN,N/A
Alpura Vaquitas Fresúper Leche Sabor Fr...,200 ML Tetrapack,$11.00 MXN,N/A
Alpura Vaquitas Chocopower Leche Sabor ...,200 ML Tetrapack,$11.00 MXN,N/A
Alpura Pro Leche Deslactosada Extra Pro...,1 L Tetrapack,$36.50 MXN,N/A
Tasty Crema de Cacahuate Sin Azúcar,310 G Tarro,$81.00 MXN,N/A
Santa Clara Leche Sabor a Helado de Caf...,250 ML Líquido Botella,$21.00 MXN,N/A
Fitness Original Cereal con Hojuelas de...,230 G Bolsa,$41.00 MXN,N/A
